exp_id,seed,accuracy,mean_latent,mean_switches,timeouts,failures,total_time,kl_drift,cosine_drift,status
A4.1,42,80.0,3.36,0.08,0,0,352.01693296432495,,,success
A4.1,43,80.0,3.36,0.08,0,0,351.29943346977234,,,success
A4.1,44,80.0,3.36,0.08,0,0,351.2976357936859,,,success
A4.2,42,74.0,3.2,0.12,0,0,542.824362039566,0.7647817539190281,0.0690914562855448,success
A4.2,43,74.0,3.2,0.12,0,0,542.5108802318573,0.7647817539190281,0.0690914562855448,success
A4.2,44,74.0,3.2,0.12,0,0,543.0384728908539,0.7647817539190281,0.0690914562855448,success
A4.3,42,78.0,18.12,3.6,0,0,388.4099049568176,4.816266818073115,0.4594443686231218,success
A4.3,43,78.0,18.12,3.6,0,0,382.6269669532776,4.816266818073115,0.4594443686231218,success
A4.3,44,78.0,18.12,3.6,0,0,383.43320631980896,4.816266818073115,0.4594443686231218,success
A4.4,42,74.0,12.72,2.4,0,0,374.43291568756104,6.225067921676333,0.557686813218726,success
A4.4,43,74.0,12.72,2.4,0,0,373.1484463214874,6.225067921676333,0.557686813218726,success
A4.4,44,74.0,12.72,2.4,0,0,372.91887974739075,6.225067921676333,0.557686813218726,success
