exp_id,seed,accuracy,mean_latent,mean_switches,timeouts,failures,total_time,kl_drift,cosine_drift,status
A1.1,42,80.0,3.24,0.1,0,0,399.0843405723572,,,success
A1.1,43,80.0,3.24,0.1,0,0,398.4211232662201,,,success
A1.1,44,80.0,3.24,0.1,0,0,398.47314262390137,,,success
A1.2,42,84.0,2.76,0.14,0,0,385.7527847290039,5.900157590995442,0.2740198622388499,success
A1.2,43,76.0,2.82,0.08,0,0,399.4417579174042,6.175235761343675,0.29224879918921565,success
A1.2,44,74.0,2.5,0.02,0,0,378.22704553604126,4.712605765351785,0.22754034994897387,success
A1.3,42,76.0,3.52,0.22,0,0,401.27319145202637,5.934258600173561,0.28440119515856105,success
A1.3,43,76.0,3.8,0.34,0,0,384.58898639678955,5.892644333801384,0.2842113516732814,success
A1.3,44,66.0,3.88,0.2,0,0,382.73264145851135,5.28031128857217,0.2613465045747303,success
A1.4,42,76.0,6.98,1.06,0,0,401.91192841529846,4.424324913488701,0.28118748729427656,success
A1.4,43,82.0,6.8,1.1,0,0,405.6295530796051,4.03197420476199,0.2727309813556217,success
A1.4,44,74.0,7.12,1.2,0,0,390.03710651397705,4.207083945993078,0.26288451089745474,success
A1.5,42,88.0,2.84,0.02,0,0,388.0928156375885,3.2390378717853903,0.1785096693634987,success
A1.5,43,80.0,3.54,0.2,0,0,381.4259045124054,3.4231930126891013,0.17084803421582495,success
A1.5,44,78.0,3.04,0.08,0,0,383.8094985485077,2.3298613547555966,0.12095033601919811,success
A1.6,42,76.0,3.4,0.16,0,0,396.90965604782104,2.0214753120364124,0.1027383154091381,success
A1.6,43,78.0,3.36,0.18,0,0,393.942658662796,1.3323337904331702,0.07960087473193805,success
A1.6,44,80.0,3.22,0.14,0,0,404.45363545417786,1.9060813742957703,0.10033518890539804,success
A1.7,42,74.0,3.12,0.08,0,0,382.4818289279938,1.3830875058693248,0.07802500194594975,success
A1.7,43,76.0,3.2,0.06,0,0,399.2120096683502,1.5845029136211082,0.09481249197749865,success
A1.7,44,78.0,3.4,0.16,0,0,410.73486971855164,1.7130869411679652,0.08972638788819313,success
