exp_id,seed,accuracy,mean_latent,mean_switches,timeouts,failures,total_time,kl_drift,cosine_drift,status
A2.1,42,78.0,3.54,0.18,0,0,401.15369391441345,,,success
A2.1,43,78.0,3.54,0.18,0,0,400.13130497932434,,,success
A2.1,44,78.0,3.54,0.18,0,0,400.169331073761,,,success
A2.2,42,76.0,3.32,0.32,0,0,399.21986508369446,0.0,1.2440247668160333e-05,success
A2.2,43,76.0,3.32,0.32,0,0,399.2602481842041,0.0,1.2440247668160333e-05,success
A2.2,44,76.0,3.32,0.32,0,0,399.292231798172,0.0,1.2440247668160333e-05,success
A2.3,42,80.0,3.24,0.1,0,0,398.55854654312134,0.0,1.277044037031749e-05,success
A2.3,43,80.0,3.24,0.1,0,0,398.6158273220062,0.0,1.277044037031749e-05,success
A2.3,44,80.0,3.24,0.1,0,0,398.5643560886383,0.0,1.277044037031749e-05,success
A2.4,42,78.0,3.46,0.0,0,0,401.8055999279022,0.0,1.2619352529919336e-05,success
A2.4,43,78.0,3.46,0.0,0,0,401.8295395374298,0.0,1.2619352529919336e-05,success
A2.4,44,78.0,3.46,0.0,0,0,401.8741121292114,0.0,1.2619352529919336e-05,success
A2.5,42,80.0,3.24,0.1,0,0,398.5660195350647,0.0,1.277044037031749e-05,success
A2.5,43,80.0,3.24,0.1,0,0,398.5471487045288,0.0,1.277044037031749e-05,success
A2.5,44,80.0,3.24,0.1,0,0,398.52526926994324,0.0,1.277044037031749e-05,success
A2.6,42,80.0,3.24,0.1,0,0,398.52102279663086,0.0,1.277044037031749e-05,success
A2.6,43,80.0,3.24,0.1,0,0,398.46374702453613,0.0,1.277044037031749e-05,success
A2.6,44,80.0,3.24,0.1,0,0,398.50209379196167,0.0,1.277044037031749e-05,success
A2.7,42,80.0,3.24,0.1,0,0,398.50239157676697,0.0,1.277044037031749e-05,success
A2.7,43,80.0,3.24,0.1,0,0,398.49045181274414,0.0,1.277044037031749e-05,success
A2.7,44,80.0,3.24,0.1,0,0,398.47518730163574,0.0,1.277044037031749e-05,success
